index,sallie mae .P,sallie mae .I,nelnet - D .P,nelnet - D .I,nelnet - C .P,nelnet - C .I,nelnet - A .P,nelnet - A .I,nelnet - B .P,nelnet - B .I,AK advantage .P,AK advantage .I,wells fargo - 1 .P,wells fargo - 1 .I,wells fargo - 101 .P,wells fargo - 101 .I,wells fargo - 102 .P,wells fargo - 102 .I,wells fargo - 103 .P,wells fargo - 103 .I
2011-09-07,3500.0,900.89,4435.0,633.54,1971.0,281.6,7487.47,706.71,7500.0,402.13,8500.0,1781.28,6487.99,260.65,5000.0,477.79,5000.0,174.67,6500.0,32.07
2012-01-09,3500.0,956.0,4435.0,731.0,1971.0,325.0,7487.47,871.0,7500.0,567.0,7634.28,51.88,6487.99,366.95,5000.0,672.88,5000.0,294.14,6500.0,187.39
2012-06-22,3500.0,956.0,4435.0,872.18,1971.0,387.66,7487.47,1109.57,7500.0,805.66,2.55,0.01,6487.99,366.95,539.02,0.0,5000.0,294.14,6500.0,187.39
2012-06-26,3500.0,956.0,4435.0,872.18,0.0,0.0,7487.47,1115.15,7500.0,811.25,2.55,0.01,6487.99,366.95,0.0,0.0,5000.0,294.14,6500.0,187.39
2012-07-10,3500.0,956.0,4435.0,887.04,0.0,0.0,7487.47,1134.66,7500.0,830.79,2.55,0.01,6487.99,471.81,0.0,0.0,5000.0,371.8,6500.0,340.6
2012-08-16,3500.0,1123.75,4435.0,917.59,0.0,0.0,7487.47,1186.24,7179.66,2.68,0.0,0.01,6487.99,471.81,0.0,0.0,5000.0,371.8,6500.0,340.6
2012-09-20,3500.0,1147.86,4435.0,946.5,0.0,0.0,7487.47,1235.03,6625.11,3.7,0.0,0.01,6487.99,471.81,0.0,0.0,5000.0,371.8,6500.0,340.6
2012-10-01,3500.0,1155.03,4435.0,955.58,0.0,0.0,7487.47,1250.36,6625.11,17.27,0.0,0.01,6487.99,524.81,0.0,0.0,5000.0,431.38,6500.0,418.04
2012-10-05,3500.0,1155.03,4435.0,958.88,0.0,0.0,7487.47,1255.94,5944.85,2.21,0.0,0.01,6487.99,524.81,0.0,0.0,5000.0,431.38,6500.0,418.04
2012-10-24,3500.0,1155.03,4435.0,974.57,0.0,0.0,7487.47,1282.42,5265.87,1.96,0.0,0.01,6487.99,524.81,0.0,0.0,5000.0,431.38,6500.0,418.04
2012-11-03,3500.0,1176.53,4435.0,982.83,0.0,0.0,7487.47,1296.36,3174.7,1.77,0.0,0.01,6487.99,524.81,0.0,0.0,5000.0,431.38,6500.0,418.04
2012-12-13,3500.0,1202.6,4435.0,1015.86,0.0,0.0,7487.47,1352.12,1198.34,0.67,0.0,0.01,6487.99,524.81,0.0,0.0,5000.0,431.38,6500.0,418.04
2013-01-17,3500.0,1202.6,4435.0,1044.76,0.0,0.0,7487.47,900.91,0.0,0.0,0.0,0.01,6487.99,577.81,0.0,0.0,5000.0,490.95,6500.0,495.49
2013-02-03,2687.13,0.5,4435.0,1044.76,0.0,0.0,7487.47,900.91,0.0,0.0,0.0,0.01,6487.99,577.81,0.0,0.0,5000.0,490.95,6500.0,495.49
2013-03-06,601.64,0.11,4435.0,1084.4,0.0,0.0,7487.47,967.82,0.0,0.0,0.0,0.01,6487.99,577.81,0.0,0.0,5000.0,490.95,6500.0,495.49
2013-04-12,0.12,0.11,4152.51,3.09,0.0,0.0,7487.47,1019.4,0.0,0.0,0.0,0.01,6487.99,629.8,0.0,0.0,5000.0,549.39,6500.0,571.46
2013-05-08,0.12,0.11,2174.15,0.81,0.0,0.0,7487.47,1055.64,0.0,0.0,0.0,0.01,6487.99,629.8,0.0,0.0,5000.0,549.39,6500.0,571.46
2013-06-14,0.12,0.11,448.32,0.36,0.0,0.0,7487.47,1107.22,0.0,0.0,0.0,0.01,6487.99,629.8,0.0,0.0,5000.0,549.39,6500.0,571.46
2013-07-10,0.12,0.11,0.0,0.36,0.0,0.0,6908.61,11.58,0.0,0.0,0.0,0.01,6487.99,682.37,0.0,0.0,5000.0,608.48,6500.0,648.27
2013-08-11,0.12,0.11,0.0,0.36,0.0,0.0,4449.77,7.46,0.0,0.0,0.0,0.01,6487.99,682.37,0.0,0.0,5000.0,608.48,6500.0,648.27
2013-09-16,0.12,0.11,0.0,0.36,0.0,0.0,3178.77,5.92,0.0,0.0,0.0,0.01,6487.99,682.37,0.0,0.0,5000.0,608.48,6500.0,648.27
2013-10-07,0.12,0.11,0.0,0.36,0.0,0.0,1693.56,1.89,0.0,0.0,0.0,0.01,6487.99,735.52,0.0,0.0,5000.0,668.21,6500.0,725.93
2013-11-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,6487.99,735.52,0.0,0.0,5000.0,668.21,6500.0,725.93
2013-12-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,6487.99,788.67,0.0,0.0,4616.91,10.19,6500.0,803.59
2014-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,6487.99,788.67,0.0,0.0,2059.48,0.0,6500.0,803.59
2014-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,6487.99,841.24,0.0,0.0,765.1,1.59,6500.0,880.4
2014-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,6487.99,841.24,0.0,0.0,0.0,0.0,6500.0,880.0
2014-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,6487.99,841.24,0.0,0.0,0.0,0.0,5176.0,10.0
2014-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,6487.99,893.23,0.0,0.0,0.0,0.0,5176.0,38.32
2014-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,6487.99,893.23,0.0,0.0,0.0,0.0,3928.1,38.32
2014-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,6487.99,946.38,0.0,0.0,0.0,0.0,2263.81,0.58
2014-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,6487.99,946.38,0.0,0.0,0.0,0.0,1473.58,0.58
2014-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,6487.99,946.38,0.0,0.0,0.0,0.0,378.75,0.58
2014-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,6487.99,982.2,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,6487.99,278.43,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,5488.39,1.94,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,4297.19,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,3309.43,0.56,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,2677.1,1.89,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
